date,meter
2015-11-09,4.68
2015-12-01,9.5
2016-01-01,16.1
2016-02-01,22.654
2016-02-29,28.89
2016-04-01,35.11
2016-05-01,42.3
2016-06-01,49.31
2016-07-01,57.37
2016-07-30,63.35
2016-08-31,68.715
2016-09-30,73.78
2016-11-01,82.43
2016-11-30,89.07
2016-12-31,96.64
2017-02-04,102.61
2017-03-01,108.08
2017-04-30,114.86
2017-05-01,122.25
2017-05-31,129.78
2017-06-30,137.31
2017-07-31,144.01
2017-08-31,152.15
2017-09-30,159.66
2017-11-04,167.32
2017-11-30,173.992
2017-12-31,181.74
2018-01-31,188.75
2018-03-01,194.23
2018-03-31,201.96
2018-05-01,209.81
2018-06-02,217.69
2018-07-08,223.64
2018-07-31,229.465
2018-09-01,236.87
2018-09-30,244.622
2018-10-31,253
2018-11-30,259.74
2018-12-31,268.6
2019-01-31,275.51
2019-02-28,282.49
2019-03-31,290.33
2019-04-30,297.3
2019-05-31,303.824
2019-06-30,311.54
2019-07-31,316.15
2019-08-31,323.46
2019-09-30,331.15
2019-10-31,339.04
2019-12-01,346.644
2019-12-31,353.83
2020-01-31,359.807
2020-03-01,366.9
2020-03-03,367.536
2020-03-03,0.083
2020-04-02,6.92
2020-05-01,13.3
2020-05-31,20.28
2020-07-04,27.767
2020-07-31,33.39
2020-09-01,39.01
2020-10-01,47.41
2020-10-31,54.87
2020-11-30,62.26
2020-12-31,70.2
2021-01-31,77.01
2021-02-28,82.85
2021-04-01,89.1
2021-05-01,95.31
2021-06-01,101.83
2021-07-12,108.26
2021-08-01,113.37
2021-09-02,120.15
2021-10-01,127.43
2021-10-31,135.7
2021-11-30,142.78
2022-01-01,150.54
2022-01-31,158.02
2022-03-01,164.41
2022-03-31,171
2022-04-30,177.385
2022-06-09,186.981
2022-06-30,191.174
2022-08-02,197.8
2022-08-31,201.38
